ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{built-in method builtins.__build_class__}
400,0.000,0.000,0.000,0.000,{built-in method builtins.callable}
493,0.001,0.000,0.001,0.000,{built-in method builtins.getattr}
32685,0.027,0.000,0.027,0.000,{built-in method builtins.hasattr}
9738,0.008,0.000,0.008,0.000,{built-in method builtins.id}
7561,0.008,0.000,0.008,0.000,{built-in method builtins.isinstance}
248,0.000,0.000,0.000,0.000,{built-in method builtins.issubclass}
704,0.001,0.000,0.001,0.000,{built-in method builtins.iter}
8458/8456,0.008,0.000,0.008,0.000,{built-in method builtins.len}
1,0.000,0.000,0.000,0.000,{built-in method builtins.max}
330,0.002,0.000,0.046,0.000,{built-in method builtins.next}
7,0.000,0.000,0.000,0.000,{built-in method builtins.print}
68,0.000,0.000,0.000,0.000,{method 'keys' of 'collections.OrderedDict' objects}
904,0.001,0.000,0.001,0.000,{method 'values' of 'collections.OrderedDict' objects}
748,0.001,0.000,0.001,0.000,{method 'items' of 'collections.OrderedDict' objects}
1,0.000,0.000,0.000,0.000,{method 'copy' of 'collections.OrderedDict' objects}
1,0.000,0.000,0.000,0.000,{method 'write' of '_io.TextIOWrapper' objects}
16,0.000,0.000,0.000,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'readline' of '_io.BufferedReader' objects}
1,0.000,0.000,0.000,0.000,{method 'seek' of '_io.BufferedReader' objects}
1400,0.002,0.000,0.002,0.000,{method 'write' of '_io.BytesIO' objects}
200,0.000,0.000,0.000,0.000,{method 'getbuffer' of '_io.BytesIO' objects}
1400,0.001,0.000,0.001,0.000,{method 'getvalue' of '_io.BytesIO' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
148,0.003,0.000,0.003,0.000,{method 'acquire' of '_thread.lock' objects}
114,0.001,0.000,0.001,0.000,{method 'release' of '_thread.lock' objects}
124,0.001,0.000,0.001,0.000,{method '__enter__' of '_thread.lock' objects}
124,0.000,0.000,0.000,0.000,{method '__exit__' of '_thread.lock' objects}
8,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
8,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
8,0.001,0.000,0.001,0.000,{built-in method _thread.start_new_thread}
26,0.000,0.000,0.000,0.000,{built-in method _thread.allocate_lock}
10,0.000,0.000,0.000,0.000,{built-in method _thread.get_ident}
7,0.000,0.000,0.000,0.000,{built-in method time.time}
308,0.000,0.000,0.000,0.000,{built-in method time.monotonic}
124,0.000,0.000,0.000,0.000,{method 'append' of 'collections.deque' objects}
8,0.000,0.000,0.000,0.000,{method 'clear' of 'collections.deque' objects}
106,0.000,0.000,0.000,0.000,{method 'remove' of 'collections.deque' objects}
40,0.000,0.000,0.000,0.000,{built-in method _weakref._remove_dead_weakref}
27,0.000,0.000,0.000,0.000,{built-in method _codecs.utf_8_decode}
2,0.000,0.000,0.000,0.000,{method 'match' of 're.Pattern' objects}
1,0.000,0.000,0.000,0.000,{built-in method posix.stat}
8,1.008,0.126,1.010,0.126,{built-in method posix.fork}
2,0.000,0.000,0.000,0.000,{built-in method posix.sched_getaffinity}
314,0.001,0.000,0.001,0.000,{built-in method posix.getpid}
20,0.000,0.000,0.000,0.000,{built-in method posix.waitpid}
444,0.003,0.000,0.003,0.000,{built-in method posix.close}
1400,0.020,0.000,0.020,0.000,{built-in method posix.read}
800,0.009,0.000,0.009,0.000,{built-in method posix.write}
400,0.002,0.000,0.002,0.000,{built-in method posix.fstat}
26,0.000,0.000,0.000,0.000,{built-in method posix.pipe}
8,0.000,0.000,0.000,0.000,{built-in method posix.WIFSIGNALED}
8,0.000,0.000,0.000,0.000,{built-in method posix.WIFEXITED}
8,0.000,0.000,0.000,0.000,{built-in method posix.WEXITSTATUS}
200,0.001,0.000,0.001,0.000,{built-in method posix.urandom}
2,0.000,0.000,0.000,0.000,{built-in method sys.settrace}
490,0.001,0.000,0.001,0.000,{method 'split' of 'str' objects}
48,0.000,0.000,0.000,0.000,{method 'join' of 'str' objects}
272,0.000,0.000,0.000,0.000,{method 'rpartition' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'strip' of 'str' objects}
8697,0.009,0.000,0.009,0.000,{method 'startswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
68,0.001,0.000,0.001,0.000,{method 'format' of 'str' objects}
4,0.000,0.000,0.000,0.000,{method '__reduce_ex__' of 'object' objects}
159,0.000,0.000,0.000,0.000,{built-in method __new__ of type object at 0x5573296d6ac0}
158,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
27,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
6448,0.006,0.000,0.006,0.000,{method 'get' of 'dict' objects}
244,0.000,0.000,0.000,0.000,{method 'setdefault' of 'dict' objects}
7,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
275,0.000,0.000,0.000,0.000,{method 'items' of 'dict' objects}
202,0.002,0.000,0.002,0.000,{method 'update' of 'dict' objects}
108,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
208,0.000,0.000,0.000,0.000,{method 'copy' of 'dict' objects}
320,0.000,0.000,0.000,0.000,{method 'bit_length' of 'int' objects}
12312,0.010,0.000,0.010,0.000,{method 'append' of 'list' objects}
3,0.000,0.000,0.000,0.000,{method '__format__' of 'float' objects}
1,0.001,0.001,0.002,0.002,{method 'readlines' of '_io._IOBase' objects}
1,0.000,0.000,0.000,0.000,{method 'decode' of 'bytes' objects}
